Comment,Designator,Footprint,LCSC,Quantity
10uF,"C1,C2",C_CASE-A-3216-18(mm),C7171,2
IRLB8721PBF,Q9,TO-220-3_Vertical,,1
BSS138,Q8,SOT-23,,1
IRLB8721PBF,Q7,TO-220-3_Vertical,,1
BSS138,Q6,SOT-23,,1
BSS138,Q5,SOT-23,,1
BSS138,Q3,SOT-23,,1
BSS138,Q2,SOT-23,,1
BSS138,Q1,SOT-23,,1
22112022,J13,CONN_A-6373-02A_MOL,,1
22112022,J12,CONN_A-6373-02A_MOL,,1
22112062,J11,CONN_A-6373-06A_MOL,,1
22112042,J9,CONN_A-6373-04A_MOL,,1
22112022,J8,CONN_A-6373-02A_MOL,,1
22112022,J7,CONN_A-6373-02A_MOL,,1
22112022,J6,CONN_A-6373-02A_MOL,,1
22112042,J5,CONN_A-6373-04A_MOL,,1
22112042,J4,CONN_A-6373-04A_MOL,,1
22112042,J3,CONN_A-6373-04A_MOL,,1
22112042,J2,CONN_A-6373-04A_MOL,,1
22112042,J1,CONN_A-6373-04A_MOL,,1
1N5817,D1,D_DO-41_SOD81_P10.16mm_Horizontal,,1
BSS138,Q4,SOT-23,,1
RaspberryPi_Pico,A1,RaspberryPi_Pico_Common_THT,,1
22112022,J10,CONN_A-6373-02A_MOL,,1
10k,R13,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
10k,R14,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
10k,R12,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
10k,R7,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
470,R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
470,R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
10k,R11,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
10k,R8,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
10k,R6,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
LT1086-3.3,U1,TO220-3_T_LIT,,1
10k,R5,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
470,R10,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
470,R9,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
470,R2,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
470,R4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
470,R15,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
SN74LVC1G00DBV,U2,SOT-23-5,,1
