Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,RaspberryPi_Pico,RaspberryPi_Pico_Common_THT,149.11,-78.05,0.0,top
C1,10uF,C_CASE-A-3216-18(mm),178.26,-72.5,0.0,top
C2,10uF,C_CASE-A-3216-18(mm),178.11,-67.0,0.0,top
D1,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,168.88,-58.5,0.0,top
J1,22112042,CONN_A-6373-04A_MOL,196.0,-57.77,-90.0,top
J10,22112022,CONN_A-6373-02A_MOL,110.0,-63.27,-90.0,top
J11,22112062,CONN_A-6373-06A_MOL,138.23,-137.0,0.0,top
J12,22112022,CONN_A-6373-02A_MOL,110.0,-54.77,-90.0,top
J13,22112022,CONN_A-6373-02A_MOL,97.27,-112.5,0.0,top
J2,22112042,CONN_A-6373-04A_MOL,265.69,-115.475599,0.0,top
J3,22112042,CONN_A-6373-04A_MOL,183.73,-120.5,0.0,top
J4,22112042,CONN_A-6373-04A_MOL,183.7828,-136.006399,0.0,top
J5,22112042,CONN_A-6373-04A_MOL,265.69,-134.0,0.0,top
J6,22112022,CONN_A-6373-02A_MOL,196.0,-68.77,-90.0,top
J7,22112022,CONN_A-6373-02A_MOL,196.0,-77.27,-90.0,top
J8,22112022,CONN_A-6373-02A_MOL,196.0,-85.77,-90.0,top
J9,22112042,CONN_A-6373-04A_MOL,265.69,-147.517199,0.0,top
Q1,BSS138,SOT-23,111.4375,-148.45,0.0,top
Q2,BSS138,SOT-23,110.4375,-155.95,0.0,top
Q3,BSS138,SOT-23,109.4375,-163.95,0.0,top
Q4,BSS138,SOT-23,109.4375,-171.95,0.0,top
Q5,BSS138,SOT-23,119.9375,-151.45,0.0,top
Q6,BSS138,SOT-23,123.5625,-63.05,0.0,top
Q7,IRLB8721PBF,TO-220-3_Vertical,123.04,-55.5,0.0,top
Q8,BSS138,SOT-23,119.4375,-168.45,0.0,top
Q9,IRLB8721PBF,TO-220-3_Vertical,214.0,-120.0,0.0,top
R1,470,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,133.5,-149.5,0.0,top
R10,470,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,134.0,-55.5,90.0,top
R11,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,145.4,-154.07,0.0,top
R12,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,159.0,-148.5,0.0,top
R13,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,159.05,-155.5,0.0,top
R14,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,160.0,-161.5,0.0,top
R15,470,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,157.0,-169.5,0.0,top
R2,470,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,133.5,-157.38,0.0,top
R3,470,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,132.95,-163.0,0.0,top
R4,470,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,132.95,-168.5,0.0,top
R5,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,132.45,-174.5,0.0,top
R6,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,139.45,-149.0,0.0,top
R7,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,139.45,-154.0,0.0,top
R8,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,138.95,-159.5,0.0,top
R9,470,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,134.0,-63.05,90.0,top
U1,LT1086-3.3,TO220-3_T_LIT,167.96,-69.0,0.0,top
U2,SN74LVC1G00DBV,SOT-23-5,205.5,-137.5,0.0,top
