Comment,Designator,Footprint,LCSC,Quantity
22112042,"J1,J2,J3,J4,J5,J9",CONN_A-6373-04A_MOL,C114123,6
10k,"R11,R12,R13,R14,R5,R6,R7,R8",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C1489,8
IRLB8721PBF,Q7,TO-220-3_Vertical,C153222,1
470,"R1,R10,R15,R2,R3,R4,R9",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C4502,7
22112022,"J10,J12,J13,J6,J7,J8",CONN_A-6373-02A_MOL,C505162,6
22112062,J11,CONN_A-6373-06A_MOL,C588983,1
1N5817,D1,D_DO-41_SOD81_P10.16mm_Horizontal,C698892,1
10uF,"C1,C2",C_CASE-A-3216-18(mm),C7171,2
SN74LVC1G00DBV,U2,SOT-23-5,C7826,1
BSS138,"Q1,Q2,Q3,Q4,Q5,Q6,Q8",SOT-23,C8490,7
RaspberryPi_Pico,A1,RaspberryPi_Pico_Common_THT,,1
NCP1117-3.3_SOT223,U1,SOT-223-3_TabPin2,,1
IRLB8721PBF,Q9,TO-220-3_Vertical,,1
