Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,CAP-SMD_L3.2-W1.6-FD-1,188.75,-60.0,-90.0,top
C10,100nF,CAP-SMD_L3.2-W1.6-FD-1,201.5,-89.0,0.0,top
C11,100nF,CAP-SMD_L3.2-W1.6-FD-1,137.0,-124.25,90.0,top
C12,100nF,CAP-SMD_L3.2-W1.6-FD-1,143.0,-124.25,90.0,top
C13,100nF,CAP-SMD_L3.2-W1.6-FD-1,150.75,-126.3,-90.0,top
C14,100nF,CAP-SMD_L3.2-W1.6-FD-1,192.6036,-125.25,180.0,top
C15,100nF,CAP-SMD_L3.2-W1.6-FD-1,178.4695,-125.25,180.0,top
C16,100nF,CAP-SMD_L3.2-W1.6-FD-1,146.75,-113.0,-90.0,top
C17,100nF,CAP-SMD_L3.2-W1.6-FD-1,163.25,-122.25,90.0,top
C18,100nF,CAP-SMD_L3.2-W1.6-FD-1,113.25,-67.05,90.0,top
C19,100nF,CAP-SMD_L3.2-W1.6-FD-1,113.25,-50.75,90.0,top
C2,100nF,CAP-SMD_L3.2-W1.6-FD-1,188.75,-52.75,90.0,top
C20,100nF,CAP-SMD_L3.2-W1.6-FD-1,113.25,-59.75,-90.0,top
C21,100nF,CAP-SMD_L3.2-W1.6-FD-1,113.25,-76.2,-90.0,top
C22,100nF,CAP-SMD_L3.2-W1.6-FD-1,121.25,-85.75,0.0,top
C23,100nF,CAP-SMD_L3.2-W1.6-FD-1,121.25,-93.75,0.0,top
C24,100nF,CAP-SMD_L3.2-W1.6-FD-1,121.24,-102.065,0.0,top
C25,100nF,CAP-SMD_L3.2-W1.6-FD-1,121.25,-110.0,0.0,top
C3,100nF,CAP-SMD_L3.2-W1.6-FD-1,137.0,-105.75,-90.0,top
C4,100nF,CAP-SMD_L3.2-W1.6-FD-1,180.5,-62.0,180.0,top
C5,10uF,CASE-D_7343,178.55,-65.75,0.0,top
C6,10uF,CASE-D_7343,179.75,-80.25,0.0,top
C7,100nF,CAP-SMD_L3.2-W1.6-FD-1,181.7,-84.0,180.0,top
C8,100nF,CAP-SMD_L3.2-W1.6-FD-1,201.5,-72.5,0.0,top
C9,100nF,CAP-SMD_L3.2-W1.6-FD-1,201.5,-80.75,0.0,top
D1,1N5817WS_C727114,SOD-323_L1.8-W1.3-LS2.5-FD,181.75,-53.25,180.0,top
D10,1N5819WS,D_SOD-323,117.25,-50.9175,-90.0,top
D11,1N5819WS,D_SOD-323,117.25,-58.5,-90.0,top
D12,1N5819WS,D_SOD-323,117.25,-74.75,-90.0,top
D13,BZX84C3V6,SOT-23,129.75,-88.25,0.0,top
D14,BZX84C3V6,SOT-23,129.8,-96.3125,0.0,top
D15,BZX84C3V6,SOT-23,129.7,-104.315,0.0,top
D16,BZX84C3V6,SOT-23,129.75,-112.5,0.0,top
D2,Green,D_0805,207.97,-105.5,180.0,top
D3,Green,D_0805,207.97,-100.5,180.0,top
D4,Green,D_0805,207.97,-95.5,180.0,top
D5,1N5819WS,D_SOD-323,196.25,-122.5,0.0,top
D6,BZX84C3V6,SOT-23,153.0,-116.4375,180.0,top
D7,BZX84C5V6,SOT-23,137.0,-119.5,180.0,top
D8,BZX84C3V6,SOT-23,161.0,-116.4375,180.0,top
D9,1N5819WS,D_SOD-323,117.25,-67.2625,-90.0,top
J1,22112042,CONN_A-6373-04A_MOL,195.0,-55.19,90.0,top
J10,22112042,CONN_A-6373-04A_MOL,108.325,-107.6264,-90.0,top
J11,22112042,CONN_A-6373-04A_MOL,108.25,-91.31,-90.0,top
J12,22112042,CONN_A-6373-04A_MOL,108.325,-71.9936,-90.0,top
J13,22112042,CONN_A-6373-04A_MOL,108.325,-55.6773,-90.0,top
J2,22112022,CONN_A-6373-02A_MOL,195.0,-68.23,90.0,top
J3,22112022,CONN_A-6373-02A_MOL,195.0,-76.73,90.0,top
J4,22112022,CONN_A-6373-02A_MOL,195.0,-85.23,90.0,top
J5,22112022,CONN_A-6373-02A_MOL,196.0064,-130.5,0.0,top
J6,22112022,CONN_A-6373-02A_MOL,181.8723,-130.494267,0.0,top
J7,22112062,CONN_A-6373-06A_MOL,162.6582,-130.497134,0.0,top
J8,22112042,CONN_A-6373-04A_MOL,140.9041,-130.5,0.0,top
J9,22112022,CONN_A-6373-02A_MOL,124.23,-130.5,0.0,top
Q1,BSS138,SOT-23,192.4536,-119.2,270.0,top
Q2,IRLB8721PBF,TO-220-3_Vertical,181.25,-119.95,0.0,top
Q3,BSS138,SOT-23,143.0,-115.25,0.0,top
Q4,BSS138,SOT-23,169.5,-122.25,180.0,top
Q5,AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,122.96,-49.5,270.0,top
Q6,AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,122.95,-68.5,270.0,top
Q7,AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,122.95,-58.5,270.0,top
Q8,AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,133.46,-57.25,270.0,top
Q9,AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,122.95,-77.5,270.0,top
R1,100Ω,R_1206,208.0,-103.0,0.0,top
R10,1kΩ,R_1206,192.8036,-114.5,0.0,top
R11,100kΩ,R_1206,192.8036,-110.5,180.0,top
R12,100kΩ,R_1206,178.75,-112.25,90.0,top
R13,10kΩ,R_1206,159.5,-125.0,180.0,top
R14,2.6kΩ,R_1206,137.0,-115.25,0.0,top
R15,100Ω,R_1206,159.5,-121.0,0.0,top
R16,1.6kΩ,R_1206,158.0,-115.0,-90.0,top
R17,100kΩ,R_1206,169.5875,-118.75,180.0,top
